Year.Grazing,Grazing,Year,Site.ID,AcmAm,AirCa,AloSa,AveFa,BarGr,BlenNa,BriMi,BroEl,BroMi,BroDi,BroHo,BroUp,CasAt,CasCa,CenSp,ChlPo,CicQu,CotCo,CroSe,DesDa,DowBi,DowCu,DowOr,EleAc,EleMa,ElyCa,EroBo,EryCa,EscLo,FesBr,FesPe,GerDi,GlyDe,GraEb,HolVir,HorMa,HypRa,JunBa,JunBu,JunCa,JunPa,LasFr,LasGl,CotCo.1,LayFr,LeoSa,LotPu,LupBi,LytHy,NavLe,NavMe,PilAm,PlagSt,PlagGr,PogZi,PsiBr,RanBo,TriDe,TriDu,TriBi,TriHi,TriEr,TriHy,TriLa,TriVa
2015_Grazed,Grazed,2015,B3-91,8.666666667,0,0,5.666666667,6.666666667,0,0.443333333,0,0,0,20.44666667,0,0,0,4.333333333,0,0,0,2.89,26.33333333,0,0,0,0,0.11,1.11,20.88666667,4.556666667,0,21.44666667,0.11,0,0,0.11,0,20.33333333,0,0,0.333333333,0,0,0,0,0,0.223333333,16.33333333,0,0,0.776666667,0,0,0,0.11,0,1.223333333,0,6,0,0,0,2.113333333,0,0,0,0
2016_Grazed,Grazed,2016,B3-91,0,0,0,11,7.776666667,0,1.776666667,0,6.333333333,1.443333333,10.77666667,0,0,0,6.223333333,0,0,0,0,10.33333333,0,0,0,0,0,0,17.55666667,1.333333333,0,59.55666667,0,0,0,0,0,1.333333333,0,5.443333333,7.776666667,9.776666667,0,0,0,0,0,27.44333333,0,0,10.33333333,0,0,0,0,0,0.333333333,0,0.223333333,0,0.223333333,0,0,0,1,0,0
2017_Grazed,Grazed,2017,B3-91,0,0,0,23.77666667,5.89,0,2.11,0,0.89,0,9.333333333,0,1.11,0,3.443333333,0,0,0,0.556666667,35.22333333,0,0,0,0,0,2.89,11.33333333,6.333333333,0,34.66666667,3.886666667,0,0,0.556666667,0,0.11,0,0,4.666666667,1.223333333,0,0,0,0,0.556666667,37,0.333333333,0,12.22333333,0,0,0,0,0,1.443333333,0,14.11,0,0,0,0,0,0,0,6.776666667
2015_Grazed,Grazed,2015,B3-92,3.443333333,0,0,2.666666667,6.113333333,0,1.22,0,0,1.223333333,10.33333333,0,0.11,0,1.11,0,0.443333333,0,0.11,14.44333333,0,0,0,0,0,3.556666667,14.89,14.55333333,0,38.11,1,0,12.77666667,1.443333333,0,5.223333333,0,0,6.776666667,0,0,0,12.33333333,0,0,17.89,0,0.886666667,5.11,0,0,0,0.556666667,0,0,1.223333333,26.22333333,0,0.443333333,0,3.78,0,0,0,0
2016_Grazed,Grazed,2016,B3-92,0,0,0,1.333333333,3,0,1.78,0,0,0,19.44333333,0,0,0,2.78,0,0,0,0,15.11,0,0,0,0,11.11,0,4.223333333,15.55666667,0,29.33333333,0.333333333,0,0.556666667,8.11,0,5.89,0,5.11,15.22333333,0.556666667,0,0,0,6.11,0,32.11333333,0,2.443333333,10.44333333,0,0,0,0,0.333333333,0,9.776666667,22.44666667,0.223333333,0.89,0,0,0,0.886666667,0,6.556666667
2017_Grazed,Grazed,2017,B3-92,0,0,0.223333333,8.89,0.776666667,0,0.333333333,0,0,0,7.11,0.11,0,0,4,0,0.556666667,6,0,33.88666667,0,0,0,0,0,4.666666667,4.666666667,7.443333333,0,27.44333333,1.776666667,0,2.666666667,3.333333333,0.556666667,1.553333333,0,0,6.333333333,0.223333333,0,13.89,1.223333333,0,0,29.89,1,0.223333333,34.11,0,0,0,4.11,0.776666667,0.11,0,23.78,0,10.89,0,3.556666667,0,0,0.11,0
2015_Grazed,Grazed,2015,C2-10,0,0,0.443333333,3.443333333,4.556666667,0,0.443333333,0,1.553333333,0.11,2.333333333,0,0,0,0.11,0,0,0,2,11.66666667,0,0,0.223333333,0,0,1.333333333,17.22333333,13.22,0,25.77666667,0,0,0,0,0,17.77666667,0,0,0.333333333,0,0,9.11,0.11,0,1,9.666666667,0,0.11,1.11,0,0,0,19.66666667,0,2.333333333,8.556666667,0,0,0,0,0,0,0.556666667,0,0
2016_Grazed,Grazed,2016,C2-10,0,0,0.666666667,15.78,17.55333333,0,0.223333333,0,6.556666667,0,13.89,0,0,0,0,0,0.333333333,0,0.443333333,5.89,0,0.223333333,6.556666667,0,0,0,21.55333333,6.223333333,0,32.78,0.443333333,0,0,0.333333333,0,8.11,0,2.666666667,14.11333333,4.556666667,0,13.44333333,0,0,0.89,16.22,0,1.333333333,4.89,2.556666667,0,1.666666667,4.446666667,0,11.55666667,6.333333333,0,0.443333333,0.666666667,0,0,0,0.443333333,0,0
2017_Grazed,Grazed,2017,C2-10,0,0,0,17.33333333,5.223333333,0,0.333333333,0,0.11,0.333333333,6.89,0.556666667,0,0,1.89,0,1.333333333,0,0,2,0,10.77666667,10.89,0,8.223333333,16.66666667,3,51,0,0,0.443333333,0,0,4.666666667,0,0,0,0,8.333333333,0,2.223333333,8.556666667,0,0,15.44333333,31.66666667,0,0,4.333333333,0,0,0,13.55333333,0,9.446666667,27.66666667,0.333333333,4,0.776666667,0,0.333333333,0,0.556666667,0.223333333,0
2015_Grazed,Grazed,2015,C2-11,0,0,0,10.77666667,13.44333333,0,4.556666667,0,4.556666667,8.556666667,5.446666667,0,0,0,0.556666667,0,0,0,0.443333333,12.66666667,2.666666667,0.223333333,1.776666667,0,0,0,38.44333333,19.55666667,0,12.89,0,0,0,0,0,4.89,0,0,0,0,0,3.223333333,2.89,0,0,10.44666667,0,5.776666667,0,0,0,0,4.443333333,0,5.776666667,25.77666667,0,0,0,0,0.11,0,0,0,0
