Site ID,Zone,Quadrat #,Grazing,Year,AcmAm,AirCa,AloSa,AveFa,BarGr,BleNa,BriMi,BroEl,BroMi,BroDi,BroHo,CasAt,CasCa,CenSp,ChlPo,CinQu,CotCo,CroSe,DesDa,DowBi,DowCu,DowOr,EleAr,EleMa,ElyCa ,EroBo,EryCa,EscLo,FesBr,FesPe,GerDi,GlyDe,GraEb,HolVi,HorMa,HypRa,JunBa,JunBu,JunCa,JunPa,LasFr,LasGl,LayFr,LeoSa,LupBi,LytHy,NavLe,NavMe,PilAm,PlaSt,PlaGr,PogZi,PsiBre,RanBo ,TriDe,TriDu,TriEr,TriHi,TriHy,TriLa,TriVa
B3-91,Pool,1,Grazed,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,9,0,32,0,0,0,0,0,0,0
B3-91,Pool,2,Grazed,2015,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,68,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Pool,3,Grazed,2015,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,95,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
B3-91,Transition,1,Grazed,2015,0,0,0,0,2,0,1,0,0,0,13,0,0,3,0,0,0,0,1,0,0,0,0,0,0,17,0,0,82,0,0,0,0,0,39,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
B3-91,Transition,2,Grazed,2015,0,0,0,0,16,0,0,0,0,0,3,0,0,23,0,0,0,0,22,0,0,0,0,0,0,0,5,0,38,1,0,0,0,0,21,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
B3-91,Transition,3,Grazed,2015,21,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,26,0,0,0,0,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Upland,1,Grazed,2015,33,0,0,33,4,0,0,0,0,0,9,0,0,5,0,0,0,17,0,0,0,0,0,0,7,76,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Upland,2,Grazed,2015,24,0,0,12,19,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,3,59,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Upland,3,Grazed,2015,0,0,0,6,3,0,3,0,0,0,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
B3-91,Pool,1,Grazed,2016,0,0,0,0,6,0,0,0,0,0,7,0,0,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0,0,0,0,0,0,0,54,0,33,0,0,0,0,0,7,0,60,0,0,0,0,0,0,0
B3-91,Pool,2,Grazed,2016,0,0,0,0,3,0,13,0,0,0,0,0,0,7,0,0,0,0,100,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Pool,3,Grazed,2016,0,0,0,0,8,0,0,0,18,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,90,0,0,0,0,0,0,0,0,8,14,0,0,0,0,49,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Transition,1,Grazed,2016,0,0,0,0,4,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,10,0,48,0,0,0,0,0,10,0,0,30,32,0,0,0,0,0,0,45,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
B3-91,Transition,2,Grazed,2016,0,0,0,1,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,2,0,90,0,0,0,0,0,2,0,0,16,9,0,0,0,0,9,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Transition,3,Grazed,2016,0,0,0,0,5,0,16,0,3,0,0,0,0,5,0,0,0,0,93,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,49,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
B3-91,Upland,1,Grazed,2016,0,0,0,9,4,0,0,0,0,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Upland,2,Grazed,2016,0,0,0,54,24,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Upland,3,Grazed,2016,0,0,0,35,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
B3-91,Pool,1,Grazed,2017,0,0,0,0,7,0,0,0,2,0,0,0,0,3,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,26,0,0,0,0,0,7,0,73,0,0,0,0,0,0,0
B3-91,Pool,2,Grazed,2017,0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,66,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,25,0,37,0,0,0,0,0,5,0,51,0,0,0,0,0,0,0
B3-91,Pool,3,Grazed,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
B3-91,Transition,1,Grazed,2017,0,0,0,0,12,0,13,0,1,0,8,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,9,5,0,0,0,0,58,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
B3-91,Transition,2,Grazed,2017,0,0,0,1,5,0,6,0,3,0,0,0,0,7,0,0,0,1,93,0,0,0,0,0,0,6,0,0,34,0,0,0,0,0,0,0,0,6,4,0,0,0,0,47,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
B3-91,Transition,3,Grazed,2017,0,0,0,0,12,0,0,0,2,0,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,37,0,0,0,0,0,0,0,0,17,2,0,0,0,5,59,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
B3-91,Upland,1,Grazed,2017,3,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Upland,2,Grazed,2017,0,0,0,34,3,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,80,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-91,Upland,3,Grazed,2017,0,0,0,79,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-92,Pool,1,Grazed,2015,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,87,0,0,0,0,0,0,0,0,0,59,0,0,0,27,0,0,0,5,0,0,0,72,0,0,0,0,0,0,0
B3-92,Pool,2,Grazed,2015,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,40,0,0,0,0,15,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0
B3-92,Pool,3,Grazed,2015,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,94,0,0,0,0,0,0,0,56,0,0,0,0,13,4,0,0,0,0,0,0,0,0,28,0,12,0,0,0,0,0,0,0,0,11,42,0,0,0,0,0,0,0
B3-92,Transition,1,Grazed,2015,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0,43,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,0,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
B3-92,Transition,2,Grazed,2015,0,0,0,0,1,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,65,1,0,0,0,0,0,0,0,53,0,0,0,0,0,26,0,11,0,0,0,0,0,0,0,22,0,0,0,26,0,0,0
