"","level","year","stat","q","Grazed","Ungrazed","p_val"
"1","zone",1,"alpha",0,13.1190476190476,10.7380952380952,0.0004000400040004
"2","zone",1,"alpha",1,6.85195870229962,5.61638664760569,0.010536398467433
"3","zone",1,"alpha",2,5.16871104464306,4.380051728227,0.0419397116644823
"4","zone",1,"beta",0,1.96025524537616,1.96746143780043,0.901960784313726
"5","zone",1,"beta",1,1.83613213547643,1.84080586527448,0.980392156862745
"6","zone",1,"beta",2,1.7281954095661,1.82107576785265,0.686274509803922
"7","zone",2,"alpha",0,14.1904761904762,11.3571428571429,0
"8","zone",2,"alpha",1,7.60644546949285,5.55159219643982,0
"9","zone",2,"alpha",2,5.98774386727839,4.17418766171747,0
"10","zone",2,"beta",0,1.93618293484423,1.9452924973928,0.882352941176471
"11","zone",2,"beta",1,1.93168859001579,1.78834200806527,0.169354838709677
"12","zone",2,"beta",2,1.92445434428057,1.72362096899867,0.2
"13","zone",3,"alpha",0,13.7619047619048,12.2142857142857,0.0402656704026567
"14","zone",3,"alpha",1,7.34037390521086,6.30509467354421,0.0062006200620062
"15","zone",3,"alpha",2,5.71176996965052,4.82056316766442,0.007000700070007
"16","zone",3,"beta",0,2.13030092917809,2.10278350052189,0.725490196078431
"17","zone",3,"beta",1,2.09546588810196,2.12676316169324,0.764705882352941
"18","zone",3,"beta",2,2.05501867293817,2.10304614340498,0.941176470588235
"19","pool",1,"alpha",0,25.6428571428571,21.2142857142857,0.0026002600260026
"20","pool",1,"alpha",1,12.6063480967709,10.4510626506803,0.0943983402489627
"21","pool",1,"alpha",2,8.88713351031312,7.9940223599554,0.29957805907173
"22","pool",1,"beta",0,1.8780487804878,1.92073170731707,0.0377
"23","pool",1,"beta",1,1.63229726254703,1.26938866192213,0.3997
"24","pool",1,"beta",2,1.43476550237723,1.09730331438928,0.075
"25","pool",2,"alpha",0,27.4285714285714,22.2857142857143,0.0002000200020002
"26","pool",2,"alpha",1,14.6889810753319,10.0186867216065,0
"27","pool",2,"alpha",2,11.4669763870498,7.30937887224717,0.0004000400040004
"28","pool",2,"beta",0,1.93103448275862,1.85057471264368,0.0329
"29","pool",2,"beta",1,1.66497654298198,1.18320444092017,0.1872
"30","pool",2,"beta",2,1.55595748176765,0.94559095791718,0.6657
"31","pool",3,"alpha",0,29.3571428571429,25.6428571428571,0.0391919191919192
"32","pool",3,"alpha",1,15.44730447452,13.4563514973835,0.0998902305159166
"33","pool",3,"alpha",2,11.8433937324879,10.1767168244933,0.105386416861827
"34","pool",3,"beta",0,1.85454545454545,1.78181818181818,0.2748
"35","pool",3,"beta",1,1.71928856120497,1.46054424298036,0.7028
"36","pool",3,"beta",2,1.67674670390511,1.24868191430355,0.0518
"37","site",1,"gamma",0,44,45,0.8895
"38","site",1,"gamma",1,18.8182742222435,14.634407888048,0.0641
"39","site",1,"gamma",2,12.110250041457,9.26187414358388,0.1189
"40","site",2,"gamma",0,48,46,0.4499
"41","site",2,"gamma",1,20.5688436568468,14.6171111310589,0.0014
"42","site",2,"gamma",2,14.6076052230153,8.87737587791597,0.0015
"43","site",3,"gamma",0,51,49,0.6797
"44","site",3,"gamma",1,24.8468625447487,21.1075341654242,0.0446
"45","site",3,"gamma",2,18.4610738980222,13.7480569017335,0.0184
